Name,Year Drafted,Pick Round,Position,Y1 GP,Y1 GS,Y1 MPG,Y1 FG%,Y1 3P%,Y1 FT%,Y1 RPG,Y1 APG,Y1 SPG,Y1 BPG,Y1 PPG,Y2 GP,Y2 GS,Y2 MPG,Y2 FG%,Y2 3P%,Y2 FT%,Y2 RPG,Y2 APG,Y2 SPG,Y2 BPG,Y2 PPG,Y3 GP,Y3 GS,Y3 MPG,Y3 FG%,Y3 3P%,Y3 FT%,Y3 RPG,Y3 APG,Y3 SPG,Y3 BPG,Y3 PPG,Y4 GP,Y4 GS,Y4 MPG,Y4 FG%,Y4 3P%,Y4 FT%,Y4 RPG,Y4 APG,Y4 SPG,Y4 BPG,Y4 PPG,Active,All-Stars by Y4,Total All-Stars
Craig Smith,2006,36,F,82,5,18.7,0.531,0,0.624,5.1,0.6,0.6,0.2,7.4,77,11,20.1,0.563,0,0.665,4.6,0.8,0.5,0.2,9.4,74,31,19.7,0.562,0,0.677,3.8,1.1,0.4,0.3,10.1,75,2,16.4,0.569,0.2,0.635,3.8,1.1,0.4,0.3,7.8,No,0,0
Paul Millsap,2006,47,PF,82,1,18,0.525,0.333,0.673,5.2,0.8,0.8,0.9,6.8,82,2,20.8,0.504,0,0.677,5.6,1,0.9,0.9,8.1,76,38,30.1,0.538,0,0.699,8.6,1.8,1,1,13.5,82,8,27.8,0.538,0.111,0.693,6.8,1.6,0.8,1.2,11.6,No,0,4
Kevin Durant,2007,2,SF,80,80,34.6,0.43,0.288,0.873,4.4,2.4,1,0.9,20.3,74,74,39,0.476,0.422,0.863,6.5,2.8,1.3,0.7,25.3,82,82,39.5,0.476,0.365,0.9,7.6,2.8,1.4,1,30.1,78,78,38.9,0.462,0.35,0.88,6.8,2.7,1.1,1,27.7,Yes,2,15
Al Horford,2007,3,C,81,77,31.4,0.499,0,0.731,9.7,1.5,0.7,0.9,10.1,67,67,33.5,0.525,0,0.727,9.3,2.4,0.8,1.4,11.5,81,81,35.1,0.551,1,0.789,9.9,2.3,0.7,1.1,14.2,77,77,35.1,0.557,0.5,0.798,9.3,3.5,0.8,1,15.3,Yes,2,5
Mike Conley,2007,4,PG,53,46,26.1,0.428,0.33,0.732,2.6,4.2,0.8,0,9.4,82,61,30.6,0.442,0.406,0.817,3.4,4.3,1.1,0.1,10.9,80,80,32.1,0.445,0.387,0.743,2.4,5.3,1.4,0.2,12,81,81,35.5,0.444,0.369,0.733,3,6.5,1.8,0.2,13.7,Yes,0,1
Jeff Green,2007,5,SF,80,52,28.2,0.427,0.276,0.744,4.7,1.5,0.6,0.6,10.5,78,78,36.8,0.446,0.389,0.788,6.6,2,1,0.4,16.5,82,82,37.1,0.453,0.333,0.74,6,1.6,1.3,0.9,15.1,75,51,32.4,0.449,0.303,0.811,4.8,1.4,0.7,0.5,13.3,Yes,0,0
Yi Jianlian,2007,6,PF,66,49,25,0.421,0.286,0.841,5.2,0.8,0.5,0.8,8.6,61,52,23.3,0.382,0.343,0.772,5.3,1,0.5,0.6,8.6,52,51,31.8,0.403,0.366,0.798,7.2,0.9,0.7,1,12,63,11,17.7,0.418,0.231,0.681,3.9,0.4,0.4,0.5,5.6,No,0,0
Corey Brewer,2007,7,SF,79,35,22.8,0.374,0.194,0.8,3.7,1.4,1,0.3,5.8,15,8,20.5,0.411,0.417,0.737,3.3,1.7,1,0.2,6.2,82,82,30.3,0.431,0.346,0.648,3.4,2.4,1.4,0.4,13,56,22,24.3,0.384,0.263,0.708,2.7,1.4,1.6,0.2,8.6,No,0,0
Brandan Wright,2007,8,PF,38,6,9.9,0.554,0,0.675,2.6,0.2,0.2,0.6,4,39,23,17.6,0.528,0,0.741,4,0.5,0.6,0.9,8.3,21,1,9.3,0.603,0,0.5,2,0.2,0.1,0.5,4,49,0,16.1,0.618,0,0.634,3.6,0.3,0.4,1.3,6.9,No,0,0
Joakim Noah,2007,9,C,74,31,20.7,0.482,0,0.691,5.6,1.1,0.9,0.9,6.6,80,55,24.2,0.556,0,0.676,7.6,1.3,0.6,1.4,6.7,64,54,30.1,0.504,0,0.744,11,2.1,0.5,1.6,10.7,48,48,32.8,0.525,0,0.764,10.4,2.2,1,1.5,11.7,No,0,2
